month,c_resid,indic_to,geo_layer,Year,Value
M01,DOM,LSTY,Country,2018,2076982.0
M01,DOM,LSTY,Country,2019,2517764.0
M01,DOM,LSTY,Country,2020,3342210.0
M01,DOM,LSTY,Country,2021,2425589.0
M01,DOM,LSTY,Country,2022,4108208.0
M01,DOM,LSTY,Country,2023,4747865.0
M01,DOM,LSTY,NUT1,2018,2076982.0
M01,DOM,LSTY,NUT1,2019,2517764.0
M01,DOM,LSTY,NUT1,2020,3342210.0
M01,DOM,LSTY,NUT1,2021,2425589.0
M01,DOM,LSTY,NUT1,2022,4108208.0
M01,DOM,LSTY,NUT1,2023,4747865.0
M01,DOM,LSTY,NUT2,2018,2076982.0
M01,DOM,LSTY,NUT2,2019,2517764.0
M01,DOM,LSTY,NUT2,2020,3342210.0
M01,DOM,LSTY,NUT2,2021,2425589.0
M01,DOM,LSTY,NUT2,2022,4108208.0
M01,DOM,LSTY,NUT2,2023,4747865.0
M01,DOM,LSTY,[EU27_2020],2018,2016486.0
M01,DOM,LSTY,[EU27_2020],2019,2449017.0
M01,DOM,LSTY,[EU27_2020],2020,3257894.0
M01,DOM,LSTY,[EU27_2020],2021,2317133.0
M01,DOM,LSTY,[EU27_2020],2022,3982170.0
M01,DOM,LSTY,[EU27_2020],2023,4628474.0
M01,DOM,NGT_SP,Country,2018,5214470.0
M01,DOM,NGT_SP,Country,2019,6317856.0
M01,DOM,NGT_SP,Country,2020,8386171.0
M01,DOM,NGT_SP,Country,2021,5523342.0
M01,DOM,NGT_SP,Country,2022,10228281.0
M01,DOM,NGT_SP,Country,2023,11983135.0
M01,DOM,NGT_SP,NUT1,2018,5214470.0
M01,DOM,NGT_SP,NUT1,2019,6317856.0
M01,DOM,NGT_SP,NUT1,2020,8386171.0
M01,DOM,NGT_SP,NUT1,2021,5523342.0
M01,DOM,NGT_SP,NUT1,2022,10228281.0
M01,DOM,NGT_SP,NUT1,2023,11983135.0
M01,DOM,NGT_SP,NUT2,2018,5214470.0
M01,DOM,NGT_SP,NUT2,2019,6317856.0
M01,DOM,NGT_SP,NUT2,2020,8386171.0
M01,DOM,NGT_SP,NUT2,2021,5523342.0
M01,DOM,NGT_SP,NUT2,2022,10228281.0
M01,DOM,NGT_SP,NUT2,2023,11983135.0
M01,DOM,NGT_SP,[EU27_2020],2018,5058353.0
M01,DOM,NGT_SP,[EU27_2020],2019,6139233.0
M01,DOM,NGT_SP,[EU27_2020],2020,8160487.0
M01,DOM,NGT_SP,[EU27_2020],2021,5226765.0
M01,DOM,NGT_SP,[EU27_2020],2022,9873383.0
M01,DOM,NGT_SP,[EU27_2020],2023,11651018.0
M01,DOM,STY,Country,2018,712715.0
M01,DOM,STY,Country,2019,885591.0
M01,DOM,STY,Country,2020,1113227.0
M01,DOM,STY,Country,2021,690969.0
M01,DOM,STY,Country,2022,1206183.0
M01,DOM,STY,Country,2023,1489000.0
M01,DOM,STY,NUT1,2018,712715.0
M01,DOM,STY,NUT1,2019,885591.0
M01,DOM,STY,NUT1,2020,1113227.0
M01,DOM,STY,NUT1,2021,690969.0
M01,DOM,STY,NUT1,2022,1206183.0
M01,DOM,STY,NUT1,2023,1489000.0
M01,DOM,STY,NUT2,2018,712715.0
M01,DOM,STY,NUT2,2019,885591.0
M01,DOM,STY,NUT2,2020,1113227.0
M01,DOM,STY,NUT2,2021,690969.0
M01,DOM,STY,NUT2,2022,1206183.0
M01,DOM,STY,NUT2,2023,1489000.0
M01,DOM,STY,[EU27_2020],2018,695677.0
M01,DOM,STY,[EU27_2020],2019,865056.0
M01,DOM,STY,[EU27_2020],2020,1089989.0
M01,DOM,STY,[EU27_2020],2021,665480.0
M01,DOM,STY,[EU27_2020],2022,1175577.0
M01,DOM,STY,[EU27_2020],2023,1458824.0
M01,FOR,LSTY,Country,2018,4044380.0
M01,FOR,LSTY,Country,2019,4776100.0
M01,FOR,LSTY,Country,2020,5638617.0
M01,FOR,LSTY,Country,2021,1187139.0
M01,FOR,LSTY,Country,2022,4083367.0
M01,FOR,LSTY,Country,2023,6656174.0
M01,FOR,LSTY,NUT1,2018,4044380.0
